FILM TEST;-0.75,-0.5,;
...And Justice for All (1979);0.676507937311218,0.5502577085148678,;
Who's That Girl? (1987);0.5989295120786803,0.013349205292516616,;
Meet the Deedles (1998);0.3795269358507077,0.12156911358890041,;
When a Man Loves a Woman (1994);0.6635598180952862,0.32021545057315,;
Ghost and the Darkness, The (1996);0.7372701277438098,0.2612049216567253,;
My Tutor (1983);0.6228292515886492,0.030525933356380642,;
Arachnophobia (1990);0.5028848188243186,0.37242611243260804,;
Blowup (1966);0.408694811097422,0.7963956508850311,;
Yankee Zulu (1994);0.5820164202469569,0.443752945118367,;
54 (1998);0.5369733927573098,0.25526503964253705,;
Eyes Without a Face (1959);0.29679777346789366,0.8470860828025394,;
Poison Ivy II (1995);0.48273626788134344,0.017943832367093522,;
Judge Dredd (1995);0.6364813691673196,-0.03981759156021767,;
Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922);0.21355262363849142,0.9714139718014618,;
Wizard of Oz, The (1939);0.6248042723506314,0.8083778828117929,;
Breakfast at Tiffany's (1961);0.5408062752333629,0.7397741174073392,;
Blue Hawaii (1961);0.641174429544032,0.15127807746662525,;
Smashing Time (1967);0.9102960990178727,0.7828643070828087,;
Whipped (2000);0.631105394042216,0.14910178250484,;
Computer Wore Tennis Shoes, The (1970);0.6646333707719501,0.2219549641598695,;
Chain of Fools (2000);0.49451123738752656,0.3535749035603761,;
Roman Holiday (1953);0.6668058131113266,0.7761006041244766,;
Wings of Desire (Der Himmel über Berlin) (1987);0.2813592460279917,0.9348600538872416,;
Mamma Roma (1962);-0.023828986025478165,1.0,;
Just the Ticket (1999);0.6865325138416191,0.378513850898172,;
Closer You Get, The (2000);0.6711092166041209,0.6577742790913284,;
Cliffhanger (1993);0.7555189017078067,0.1413104904471186,;
Maya Lin: A Strong Clear Vision (1994);0.44203297931689794,0.9029181380292123,;
Postino, Il (The Postman) (1994);0.5161557086458383,0.8272383276545241,;
Johnny 100 Pesos (1993);0.2212379889107224,0.5783623360315733,;
Children of a Lesser God (1986);0.5944893670504663,0.695988904692401,;
Doom Generation, The (1995);0.4347997204939299,0.296821154572213,;
Vanya on 42nd Street (1994);0.001828346978360422,0.9932122459902241,;
Hard-Boiled (Lashou shentan) (1992);0.4726603656812044,0.8811457767873507,;
Adventures of Milo and Otis, The (1986);0.5695605704601906,0.5129886710021669,;
Nightmare on Elm Street, A (1984);0.6461306256844833,0.4912954422155963,;
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954);0.5084242826356498,1.0,;
Pump Up the Volume (1990);0.6512829153222829,0.5002616319501586,;
Life (1999);0.5758897767457777,0.2842348149231007,;
Sour Grapes (1998);0.4575286231747568,0.3484838840906862,;
A Chef in Love (1996);0.24630222682827466,0.7663555558289978,;
King of Marvin Gardens, The (1972);0.44641515279703686,0.5877844165223143,;
Midnight Express (1978);0.5879733885475112,0.7426891484554975,;
Angel on My Shoulder (1946);0.2429688850429769,0.8183109205378083,;
Where the Buffalo Roam (1980);0.550334525512802,0.43542735198684845,;
Caligula (1980);0.5413856988098228,0.22125350227806465,;
First Wives Club, The (1996);0.7066937166578805,0.17981591034936767,;
Thousand Acres, A (1997);0.5669191888653636,0.25207552459950733,;
Cheetah (1989);7.346570880514034E-4,-4.183195254985169E-5,;
Under Siege 2: Dark Territory (1995);0.7640240435874348,0.0232382456172841,;
Ravenous (1999);0.4334992936803788,0.51891549383942,;
Great Escape, The (1963);0.684895772880191,0.8201123638538138,;
Shine (1996);0.5230904538832588,0.7129592070766303,;
Up Close and Personal (1996);0.796946579372367,0.15425974423024122,;
October Sky (1999);0.8155134083451675,0.5929355745484324,;
It Came from Hollywood (1982);0.44151579302918376,0.5475583993077915,;
Bicycle Thief, The (Ladri di biciclette) (1948);0.3649418481879992,0.9995348443173758,;
Yellow Submarine (1968);0.41735105423442953,0.7560591973370525,;
Agnes Browne (1999);0.4865731588478622,0.5859602716779647,;
Brady Bunch Movie, The (1995);0.37553980575290014,0.47853605639725344,;
Road to Wellville, The (1994);0.5033029611263723,0.2101656537883022,;
Requiem for a Dream (2000);0.40463958868663424,0.9003777983368642,;
Runaway Bride (1999);0.7902178463845602,0.09368610919585534,;
Black Cat, White Cat (Crna macka, beli macor) (1998);0.015575107966806136,0.999468883464673,;
Nutty Professor, The (1963);0.6531750139318245,0.3165677556130739,;
Dirty Work (1998);0.6297481084832024,0.2679840829173076,;
Savior (1998);0.8266455048397922,0.4934759759234769,;
Paper, The (1994);0.5311118757971027,0.437957640886955,;
Bambi (1942);0.5802673316578486,0.6515792326190246,;
Boomerang (1992);0.5707055789420528,0.26875380595716086,;
Map of the World, A (1999);0.5300021628219016,0.6142469677555322,;
Ed Wood (1994);0.24479722313605454,0.8570475699940555,;
Hustler, The (1961);0.5266448626219307,0.8724522995405257,;
Killer (Bulletproof Heart) (1994);0.5488404874501582,0.5996297054150147,;
Very Thought of You, The (1998);0.9905921626566713,0.08087899831036006,;
Singles (1992);0.527642010736756,0.5923476008826021,;
Kurt & Courtney (1998);0.33996019976269537,0.5670378742794395,;
Prophecy II, The (1998);0.5132682916308507,0.19545257129654603,;
With Friends Like These... (1998);0.6339700537984665,0.6139875545633292,;
Anatomy (Anatomie) (2000);0.2606078553519662,0.5108174145343732,;
Nil By Mouth (1997);0.8337660182921703,0.31759138949467963,;
Grand Day Out, A (1992);0.5254749196834865,0.9347503277247157,;
Driving Miss Daisy (1989);0.683808640427877,0.6166855016034453,;
I'm Not Rappaport (1996);0.4924787204194656,0.46112803061868296,;
Crimson Tide (1995);0.7266007403887565,0.46045777169152247,;
Conformist, The (Il Conformista) (1970);0.2654452243343806,0.997939189051856,;
Incredible Journey, The (1963);0.6892808633958395,0.34086589663853134,;
Jude (1996);0.4940630585348744,0.6103425193468145,;
Pillow Book, The (1995);0.3722990734558575,0.6708237129472926,;
Terms of Endearment (1983);0.5433335282185525,0.621562714323728,;
For Love of the Game (1999);0.8723586523949673,0.07869928349466279,;
Night Tide (1961);0.29687544206377925,0.10999977358688925,;
Cruise, The (1998);0.3761194229216825,0.8444026167432244,;
Network (1976);0.37122832758669483,0.8974253182654583,;
Footloose (1984);0.7221588733573162,0.21050564844458727,;
Labyrinth (1986);0.6343515500142428,0.53105398540966,;
Coming Apart (1969);-0.21730785978370276,0.758207075945813,;
Cat from Outer Space, The (1978);0.5899726781134487,0.25250642115502747,;
Bells, The (1926);0.6636475470961636,0.8820684429644661,;
Institute Benjamenta, or This Dream People Call Human Life (1995);0.029595854702893623,0.8652855905626172,;
Ashes of Time (1994);0.22254925805478173,0.9040973117702563,;
Voyage to the Bottom of the Sea (1961);0.5358501125979123,0.5090479418119063,;
Legend of 1900, The (Leggenda del pianista sull'oceano) (1998);0.30781237629761865,0.6291651120551858,;
Sheltering Sky, The (1990);0.37883178025026626,0.47698118981238263,;
Money Pit, The (1986);0.657683142550599,0.1940302049774588,;
Fear (1996);0.6574598791879623,0.2675610735397428,;
Bram Stoker's Dracula (1992);0.5998370347347162,0.47222477440710847,;
Up at the Villa (2000);0.3704620839633169,0.5405191055016412,;
Sleeping Beauty (1959);0.6082601419561232,0.5995876550801695,;
Mutters Courage (1995);2.1748767627265136E-4,-2.5376519840415065E-6,;
Breaking the Waves (1996);0.19142885927977096,0.9046709305723653,;
Deep End of the Ocean, The (1999);0.7138957612450108,0.15593683772492067,;
Graveyard Shift (1990);0.6680874016924292,-0.13637109471360748,;
Married to the Mob (1988);0.4159990316901991,0.5452139146144522,;
Big Chill, The (1983);0.6000225835489964,0.6943913350613312,;
Sunset Park (1996);0.85283999172176,0.10428149178221104,;
Creature From the Black Lagoon, The (1954);0.39883476237802695,0.5901993810774968,;
Ape, The (1940);0.34572260213056366,0.23588524389894636,;
Baby... Secret of the Lost Legend (1985);0.5614184537320519,-0.03819472882916787,;
Shooter, The (1995);0.47409216962898976,0.41516241151567973,;
Barbarella (1968);0.4735450388741001,0.4583111389112048,;
Dinosaur (2000);0.6855242402966133,0.3126248517061609,;
Sleepers (1996);0.6815480415498917,0.48146671159483456,;
Wilde (1997);0.3930403963562231,0.7362917587709512,;
Thinner (1996);0.6892342504417871,-0.024390040815992064,;
Private Benjamin (1980);0.6328592494922844,0.34848111391011094,;
Princess Bride, The (1987);0.6779899926716191,0.7907196742774009,;
Blue Chips (1994);0.584456574654845,0.15383888523660377,;
Air Bud: Golden Receiver (1998);0.5679240830110228,-0.09827550409439514,;
End of the Affair, The (1955);0.559842573800498,0.7197009495207503,;
Idle Hands (1999);0.6186140108105865,0.16787481832338408,;
Mating Habits of the Earthbound Human, The (1998);0.838953691889839,0.1782530582396272,;
Desert Blue (1999);0.3199837620761953,0.6322198228907239,;
Tank Girl (1995);0.4613881075824482,0.31144483069507806,;
Muppet Christmas Carol, The (1992);0.6062269126223767,0.54469502895248,;
Zeus and Roxanne (1997);0.40901314666984284,0.29210755660185506,;
Grateful Dead (1995);0.3593540122023528,0.6254849242275748,;
Charlie, the Lonesome Cougar (1967);0.5535991262820994,0.3857597225463845,;
Tin Drum, The (Blechtrommel, Die) (1979);0.20557696076565668,0.9826600592607205,;
Killer Shrews, The (1959);0.5674980261493022,0.12163241396883484,;
D2: The Mighty Ducks (1994);0.7271764785162679,-0.04938744258407481,;
Strictly Ballroom (1992);0.4770411085369094,0.8078612315266819,;
Robert A. Heinlein's The Puppet Masters (1994);0.6578813632867129,0.2059791809994975,;
Brighton Beach Memoirs (1986);0.40919461984571426,0.6673948590354783,;
Shanghai Noon (2000);0.6782426944399813,0.5448645451677648,;
Return of the Texas Chainsaw Massacre, The (1994);0.4772157449421297,-0.1369346149555679,;
Night of the Comet (1984);0.5391735756819642,0.38762069650471903,;
Casino (1995);0.5827349588263695,0.6680176184546243,;
Marnie (1964);0.39225862311978893,0.7177416605583531,;
Spy Hard (1996);0.7756591398086187,-0.09438569803472582,;
Lone Star (1996);0.3822819040261033,0.9225096154925833,;
Indiana Jones and the Temple of Doom (1984);0.7426338440779866,0.41125950323143157,;
Happiness (1998);0.2385061391898294,0.9041640474884786,;
Dog's Life, A (1920);0.14615663954687208,0.9282206113921715,;
Lured (1947);0.6611559260080362,0.8293497841204658,;
Crow, The (1994);0.601935035629623,0.464541914711571,;
Star Trek VI: The Undiscovered Country (1991);0.6985864784587654,0.358994807353669,;
Rosetta (1999);0.18091152385476306,0.8973112045164078,;
Screamers (1995);0.5442096333358363,0.28756506313730745,;
Single White Female (1992);0.6681253911684607,0.29166897397455593,;
Star Trek IV: The Voyage Home (1986);0.7166205372398603,0.4651343212441771,;
Road Trip (2000);0.7867994623185688,0.2565442897065336,;
Legends of the Fall (1994);0.6917423872417887,0.3849246323476424,;
Lord of Illusions (1995);0.6488736419160184,0.1644788071807735,;
Interiors (1978);0.4342780628289671,0.6064222807750601,;
King of New York (1990);0.4158336446141032,0.6393112560107332,;
Rebel Without a Cause (1955);0.49687088588624695,0.7869841352726449,;
Escape from the Planet of the Apes (1971);0.518539881116416,0.395687197113965,;
Center Stage (2000);0.7999705192155004,0.2309594882286839,;
Mummy, The (1932);0.5106115894602895,0.6779160321630495,;
Mission to Mars (2000);0.6626624199736241,0.0192312126053793,;
Garbage Pail Kids Movie, The (1987);0.2856745098416419,-0.02669788775660879,;
Normal Life (1996);0.34605033922754735,0.47309882822462407,;
Small Time Crooks (2000);0.4004463558914476,0.6409991175726555,;
Chungking Express (1994);0.40551381791174235,0.8392681833594098,;
Taste of Cherry (1997);0.12705624280038427,0.8076244596477231,;
Fantastic Planet, The (La Planète sauvage) (1973);0.3105188220303542,0.8115347471148261,;
Native Son (1986);0.4519054708954877,0.6311294888634419,;
In the Name of the Father (1993);0.5501508887368894,0.7482041863758754,;
Mifune (Mifunes sidste sang) (1999);0.1592217667508073,0.8720112931622764,;
Few Good Men, A (1992);0.7925314776259772,0.5001386767074528,;
Haunting, The (1963);0.45182044400894883,0.6955805180883775,;
Heathers (1989);0.3965463487589607,0.8255680181489067,;
Watership Down (1978);0.4961450656284035,0.7791594978121406,;
Rich and Strange (1932);0.3676269818822917,0.650370510446835,;
House Party 3 (1994);0.44159882105254183,-0.1113642336973812,;
Night Falls on Manhattan (1997);0.5659984778334279,0.4351046969838657,;
Reindeer Games (2000);0.7415744501833007,0.022716315796781867,;
We're No Angels (1989);0.5718770623395844,0.2032293195833939,;
Strangers on a Train (1951);0.44935056903862863,0.9605704780586395,;
It's My Party (1995);0.594476447535666,0.49991208901582074,;
Metropolis (1926);0.26967089432935515,0.9674845374137365,;
Dancemaker (1998);0.1505823099244358,0.9797707070190795,;
Shaggy Dog, The (1959);0.6727833014719165,0.331999653262436,;
Woman of Paris, A (1923);0.04695708994260977,0.8678284230469857,;
JLG/JLG - autoportrait de décembre (1994);-0.040552355270156736,1.0,;
Battleship Potemkin, The (Bronenosets Potyomkin) (1925);0.21048031114400734,0.9603854175861525,;
Mr. Jones (1993);0.5478184322335208,0.2250464914362349,;
Madame Butterfly (1995);0.3788587898256726,0.8033075401667851,;
Willow (1988);0.691474470511835,0.41052442832871744,;
Goya in Bordeaux (Goya en Bodeos) (1999);0.27976460382970736,0.6045726516682561,;
Mummy's Ghost, The (1944);0.4491938999297377,0.19210365913852037,;
Brother from Another Planet, The (1984);0.23728312750936156,0.8334142506496001,;
Wend Kuuni (God's Gift) (1982);0.5576411921591972,0.563566897026492,;
Outbreak (1995);0.7705174729307434,0.2095475478396517,;
Cyclo (1995);0.17666721114457892,0.8789265683066992,;
Melody Time (1948);0.43465710934778407,0.7044247401774419,;
My Boyfriend's Back (1993);0.608282691461464,-0.07252410613784209,;
Mother Night (1996);0.5090630481866898,0.6582839625108625,;
Yojimbo (1961);0.35293740718544714,0.9936249231434097,;
Last Summer in the Hamptons (1995);0.30239433726449644,0.5659795152053598,;
Coogan's Bluff (1968);0.6060876779259453,0.4505604126357638,;
Son in Law (1993);0.7432793658087892,0.00518486558474052,;
Puppet Master 4 (1993);0.598006673118204,-0.21520353135328366,;
28 Days (2000);0.6394147842031999,0.23706910272918982,;
Lady Vanishes, The (1938);0.43716023340721194,0.9404926565944494,;
Blazing Saddles (1974);0.5860248242471727,0.7509917167462686,;
Evening Star, The (1996);0.5670752316977687,0.26314072357205504,;
Simply Irresistible (1999);0.6768172811246856,0.07225761560880763,;
EDtv (1999);0.5943028351570017,0.40566645396562023,;
Mister Roberts (1955);0.6135810402536935,0.7931881546525279,;
City Lights (1931);0.41338066335837864,1.0,;
Niagara (1953);0.3428288500387211,0.7530073996786762,;
Solo (1996);0.6344354032114752,-0.1678097746834076,;
